timestamp,heart_rate,stress_level,steps,calories_burned,sleep_minutes,sleep_hours
2025-12-07 06:00:00,61,21.0,13129.0,525.16,0.0,0.0
2025-12-07 06:15:00,58,18.0,13129.0,525.16,0.0,0.0
2025-12-07 06:30:00,59,19.0,13129.0,525.16,0.0,0.0
2025-12-07 06:45:00,61,21.0,13129.0,525.16,0.0,0.0
2025-12-07 07:00:00,60,20.0,13129.0,525.16,0.0,0.0
2025-12-07 07:15:00,61,21.0,13129.0,525.16,0.0,0.0
2025-12-07 07:30:00,63,23.0,13129.0,525.16,0.0,0.0
2025-12-07 07:45:00,59,19.0,13129.0,525.16,0.0,0.0
2025-12-07 08:00:00,60,20.0,13129.0,525.16,0.0,0.0
2025-12-07 08:15:00,62,22.0,13129.0,525.16,0.0,0.0
2025-12-07 08:30:00,57,17.0,13129.0,525.16,0.0,0.0
2025-12-07 08:45:00,59,19.0,13129.0,525.16,,
2025-12-07 09:00:00,67,24.0,13129.0,525.16,0.0,0.0
2025-12-07 09:15:00,63,21.0,13129.0,525.16,0.0,0.0
2025-12-07 09:30:00,94,47.0,13129.0,525.16,0.0,0.0
2025-12-07 09:45:00,86,40.0,13129.0,525.16,0.0,0.0
2025-12-07 10:00:00,83,,13129.0,525.16,0.0,0.0
2025-12-07 10:15:00,76,32.0,13129.0,525.16,0.0,0.0
2025-12-07 10:30:00,68,25.0,13129.0,525.16,0.0,0.0
2025-12-07 10:45:00,74,30.0,13129.0,525.16,0.0,0.0
2025-12-07 11:00:00,65,23.0,13129.0,525.16,0.0,0.0
2025-12-07 11:15:00,73,29.0,13129.0,525.16,0.0,0.0
2025-12-07 11:30:00,77,33.0,13129.0,525.16,0.0,0.0
2025-12-07 11:45:00,92,45.0,13129.0,525.16,0.0,0.0
2025-12-07 12:00:00,84,38.0,13129.0,525.16,0.0,0.0
2025-12-07 12:15:00,85,39.0,13129.0,525.16,0.0,0.0
2025-12-07 12:30:00,70,27.0,13129.0,,0.0,0.0
2025-12-07 12:45:00,85,39.0,13129.0,525.16,0.0,0.0
2025-12-07 13:00:00,70,27.0,13129.0,525.16,0.0,0.0
2025-12-07 13:15:00,72,29.0,13129.0,525.16,0.0,0.0
2025-12-07 13:30:00,71,28.0,13129.0,525.16,0.0,0.0
2025-12-07 13:45:00,71,,13129.0,525.16,0.0,0.0
2025-12-07 14:00:00,90,43.0,13129.0,525.16,0.0,0.0
2025-12-07 14:15:00,70,27.0,13129.0,525.16,0.0,0.0
2025-12-07 14:30:00,64,,13129.0,525.16,0.0,0.0
2025-12-07 14:45:00,81,36.0,13129.0,525.16,0.0,0.0
